shaft_diameter,hub_length,shaft_type,shaft_material,has_bending,safety_factor,surface_condition,mu_override,hub_outer_diameter,shaft_inner_diameter,required_torque,pref_ease,pref_movement,pref_cost,pref_vibration,pref_speed,pref_bidirectional,pref_maintenance,pref_durability,label,analytical_label,feasible
50.0,46.0,solid,Steel C45,1.0,1.5,dry,,115.0,,128077.0,0.2,0.1,0.0,0.3,0.1,0.9,0.4,0.1,key,key,1.0
20.0,24.0,solid,Bronze CuSn8,1.0,1.6,dry,,44.0,,3747.0,0.9,0.7,0.3,0.2,0.8,0.2,0.3,1.0,spline,spline,1.0
80.0,76.0,solid,Steel C45,1.0,1.6,dry,,155.0,,670104.0,0.0,0.7,0.6,0.5,0.2,0.6,0.0,0.2,spline,spline,1.0
100.0,97.0,solid,SteelC45E,1.0,1.7,oiled,,278.0,,689440.0,1.0,0.6,1.0,1.0,0.0,0.8,0.3,0.8,spline,spline,1.0
30.0,31.0,hollow,Steel 42CrMo4,1.0,1.4,oiled,,65.0,9.0,34110.0,0.0,0.9,0.7,0.3,0.8,0.3,0.9,0.1,key,key,1.0
60.0,58.0,solid,Steel C45,1.0,1.5,oiled,0.05,173.0,,253520.0,0.4,0.1,0.6,0.9,0.1,0.4,0.9,0.5,press,press,1.0
35.0,41.0,solid,Aluminum 6061,1.0,1.9,dry,,79.0,,59404.0,0.0,0.9,0.2,0.6,0.6,0.6,0.2,0.5,spline,spline,1.0
35.0,28.0,solid,SteelC45E,0.0,1.4,oiled,0.21,78.0,,59714.0,0.4,0.4,1.0,0.1,0.8,0.7,0.9,0.4,key,key,1.0
12.0,15.0,solid,Steel 42CrMo4,1.0,2.0,dry,,33.0,,2660.0,0.2,0.7,0.4,0.4,0.5,0.8,0.0,0.7,spline,spline,1.0
45.0,34.0,solid,Bronze CuSn8,0.0,1.7,dry,,108.0,,138732.0,0.5,0.0,0.2,1.0,1.0,0.8,0.4,0.7,press,press,1.0
30.0,32.0,solid,Aluminum 6061,1.0,1.6,oiled,,64.0,,24098.0,1.0,0.3,0.4,0.8,0.1,0.1,0.3,0.3,key,key,1.0
45.0,54.0,solid,Cast Iron GG25,1.0,1.7,dry,,97.0,,147312.0,0.0,0.5,0.5,0.2,0.1,0.0,0.0,0.5,press,press,1.0
60.0,61.0,solid,Steel C45,1.0,1.3,dry,,178.0,,233995.0,0.9,0.3,1.0,0.6,0.0,0.1,0.4,1.0,key,key,1.0
80.0,89.0,hollow,Steel S235,1.0,1.8,dry,,203.0,44.0,624074.0,0.8,0.3,0.9,0.4,0.9,0.1,0.4,0.8,key,key,1.0
90.0,40.0,solid,Steel C45,0.0,1.4,dry,,192.0,,975488.0,0.9,0.0,0.4,0.2,0.2,0.7,0.9,0.1,press,press,1.0
50.0,50.0,hollow,Steel S235,1.0,1.5,oiled,,122.0,27.0,65341.0,0.4,0.5,0.4,0.5,0.9,0.3,0.4,0.1,key,key,1.0
50.0,56.0,solid,SteelC45E,1.0,1.2,dry,0.07,137.0,,75441.0,0.2,1.0,0.6,0.0,0.5,0.4,1.0,0.5,spline,spline,1.0
100.0,59.0,hollow,Steel E360,0.0,1.5,oiled,,207.0,32.0,565292.0,0.0,0.8,0.7,0.6,0.0,0.7,0.8,0.8,spline,spline,1.0
30.0,39.0,solid,Aluminum 6061,1.0,1.8,oiled,,61.0,,39320.0,0.0,0.8,0.6,0.5,0.4,1.0,0.1,0.7,spline,spline,1.0
30.0,33.0,solid,Bronze CuSn8,1.0,1.7,dry,,80.0,,49776.0,0.6,0.0,1.0,0.4,0.3,0.8,0.9,0.8,spline,spline,1.0
25.0,14.0,solid,Stainless 304,0.0,1.4,dry,,59.0,,14012.0,0.4,0.6,0.5,0.7,0.9,0.4,0.3,0.2,spline,spline,1.0
45.0,42.0,solid,Steel C45,1.0,1.6,oiled,,88.0,,112461.0,0.8,0.2,0.1,0.8,1.0,0.8,0.9,0.2,key,key,1.0
50.0,58.0,solid,Steel C45,1.0,1.6,oiled,,135.0,,204829.0,0.2,0.6,0.6,0.8,0.2,0.6,0.3,0.0,key,key,1.0
30.0,32.0,solid,SteelC45E,1.0,1.4,oiled,,87.0,,23887.0,0.3,0.3,0.9,0.5,0.7,0.4,0.5,0.6,key,key,1.0
120.0,95.0,solid,SteelC45E,0.0,1.6,oiled,,262.0,,1069239.0,0.8,0.6,0.5,0.7,0.2,0.7,0.6,0.6,spline,spline,1.0
30.0,37.0,solid,Bronze CuSn8,1.0,1.5,dry,0.12,83.0,,50044.0,0.2,0.1,0.7,0.8,0.6,0.1,0.1,0.4,key,key,1.0
20.0,25.0,solid,Cast Iron GGG40,1.0,1.5,oiled,0.21,46.0,,8120.0,0.0,0.2,0.7,0.4,0.1,0.9,0.7,0.6,key,key,1.0
25.0,29.0,solid,Steel S235,1.0,1.6,oiled,,53.0,,7384.0,0.1,1.0,0.3,0.3,0.3,0.1,0.5,0.4,spline,spline,1.0
30.0,22.0,solid,Steel E360,0.0,1.5,dry,,73.0,,14518.0,0.3,0.1,0.5,0.2,0.9,0.1,0.2,0.6,key,key,1.0
60.0,55.0,hollow,Steel C45,1.0,1.7,dry,,157.0,19.0,230039.0,0.3,0.1,0.0,0.1,0.0,0.2,0.9,0.9,key,key,1.0
35.0,18.0,solid,Cast Iron GG25,0.0,1.6,dry,,76.0,,24480.0,0.5,0.3,0.4,0.4,0.2,0.2,0.6,0.7,key,key,1.0
50.0,61.0,solid,Aluminum 7075,1.0,1.3,oiled,0.18,118.0,,80945.0,0.2,0.9,1.0,1.0,1.0,0.4,0.9,0.2,key,key,1.0
30.0,34.0,solid,Aluminum 7075,1.0,1.6,dry,0.06,75.0,,32827.0,0.7,0.6,0.2,0.3,0.4,0.8,0.2,0.1,spline,spline,1.0
50.0,51.0,solid,Aluminum 6061,1.0,1.4,oiled,0.05,112.0,,122816.0,0.8,0.7,0.8,0.1,0.9,0.1,0.9,0.5,key,key,1.0
30.0,29.0,solid,Steel 42CrMo4,1.0,1.9,dry,0.09,68.0,,12911.0,0.2,0.0,0.1,0.7,0.9,0.3,0.1,0.3,spline,spline,1.0
30.0,29.0,solid,Steel S235,1.0,1.7,oiled,0.07,63.0,,31443.0,0.4,0.1,0.2,0.9,1.0,0.1,0.8,0.9,spline,spline,1.0
25.0,32.0,solid,Cast Iron GG25,1.0,1.6,oiled,,71.0,,19533.0,0.8,0.5,0.5,0.3,1.0,0.4,1.0,0.8,spline,spline,1.0
35.0,33.0,solid,Steel S235,1.0,1.7,oiled,,81.0,,37629.0,0.8,0.6,0.4,1.0,0.8,0.8,1.0,0.4,spline,spline,1.0
35.0,39.0,solid,Cast Iron GGG40,1.0,1.6,oiled,,70.0,,64274.0,0.3,0.5,0.7,1.0,0.4,0.2,0.9,0.8,press,press,1.0
100.0,64.0,solid,SteelC45E,0.0,1.4,dry,,211.0,,1111670.0,0.1,1.0,1.0,0.6,1.0,0.6,0.0,0.0,press,press,1.0
30.0,18.0,solid,Aluminum 7075,0.0,1.4,dry,,62.0,,17057.0,0.0,0.9,0.9,1.0,0.4,0.6,0.9,0.0,key,key,1.0
30.0,39.0,solid,Steel E360,1.0,1.3,oiled,,78.0,,32952.0,0.6,0.4,0.1,0.1,0.4,0.5,0.8,0.5,spline,spline,1.0
60.0,64.0,hollow,Cast Iron GGG40,1.0,1.6,oiled,,140.0,23.0,123603.0,0.8,0.0,0.0,1.0,0.5,0.5,0.5,0.4,key,key,1.0
45.0,41.0,solid,SteelC45E,1.0,1.8,oiled,,92.0,,129334.0,0.5,0.3,0.2,0.1,0.5,0.2,1.0,0.4,key,key,1.0
40.0,26.0,solid,Aluminum 6061,0.0,1.5,dry,0.16,104.0,,109701.0,0.4,0.5,1.0,0.7,0.0,0.7,0.2,0.5,press,press,1.0
80.0,36.0,hollow,Steel S235,0.0,1.6,oiled,,203.0,37.0,741354.0,0.9,0.6,0.7,0.4,0.8,1.0,0.4,0.0,spline,spline,1.0
40.0,18.0,solid,Stainless 304,0.0,1.6,dry,,103.0,,76361.0,0.7,0.6,0.9,0.3,1.0,0.1,0.6,1.0,spline,spline,1.0
110.0,75.0,solid,Cast Iron GGG40,0.0,1.6,dry,,230.0,,1115842.0,0.2,0.4,0.1,0.0,0.7,0.6,0.0,0.8,spline,spline,1.0
20.0,20.0,solid,Steel S235,1.0,1.8,oiled,,59.0,,5457.0,0.2,0.0,0.2,0.6,0.0,0.1,0.3,1.0,spline,spline,1.0
70.0,81.0,solid,Bronze CuSn8,1.0,1.7,oiled,,200.0,,548353.0,0.1,0.3,0.1,0.0,0.5,0.4,0.2,0.4,spline,spline,1.0
70.0,72.0,solid,Bronze CuSn8,1.0,1.8,dry,,156.0,,346709.0,0.7,0.9,0.1,0.7,1.0,0.2,0.8,0.9,spline,spline,1.0
20.0,26.0,solid,Bronze CuSn8,1.0,1.7,dry,,41.0,,8651.0,0.2,0.2,0.7,0.7,0.6,0.6,0.0,1.0,spline,spline,1.0
45.0,30.0,solid,Steel S235,0.0,1.5,oiled,,112.0,,147462.0,0.4,0.8,0.6,0.3,0.3,0.7,0.4,0.8,spline,spline,1.0
45.0,27.0,solid,Cast Iron GGG40,0.0,1.6,dry,,108.0,,139583.0,0.3,0.1,0.4,0.2,0.4,0.1,0.6,0.8,press,press,1.0
20.0,20.0,solid,SteelC45E,1.0,1.7,dry,,54.0,,6370.0,0.5,0.9,0.1,0.8,0.3,0.5,0.8,0.8,spline,spline,1.0
25.0,30.0,hollow,Cast Iron GGG40,1.0,1.6,dry,,67.0,13.0,16862.0,0.4,0.9,0.3,0.2,0.3,0.1,0.3,0.1,spline,spline,1.0
60.0,61.0,hollow,Steel E360,1.0,1.2,dry,,134.0,25.0,360378.0,0.4,0.0,1.0,0.4,0.5,0.7,0.6,0.0,key,key,1.0
120.0,86.0,solid,Steel E360,0.0,1.5,dry,0.15,263.0,,768640.0,0.5,0.4,0.4,0.6,0.8,0.7,0.6,0.9,spline,spline,1.0
70.0,52.0,solid,Steel 16MnCr5,0.0,1.7,dry,,141.0,,256092.0,0.3,0.9,0.6,0.6,1.0,0.3,0.4,1.0,spline,spline,1.0
40.0,51.0,solid,Steel S235,1.0,1.3,oiled,,83.0,,88681.0,0.2,0.8,1.0,0.2,1.0,0.8,1.0,0.1,key,key,1.0
60.0,30.0,solid,Stainless 304,0.0,1.7,oiled,,145.0,,78515.0,0.4,0.6,0.8,0.6,0.4,0.9,0.8,0.9,spline,spline,1.0
10.0,10.0,solid,Aluminum 7075,1.0,1.6,oiled,0.13,26.0,,1654.0,0.2,0.2,0.1,0.2,0.6,0.4,0.4,0.5,spline,spline,1.0
25.0,27.0,solid,SteelC45E,1.0,1.6,dry,,64.0,,12806.0,0.2,0.4,0.5,0.1,0.2,0.2,0.1,0.4,key,key,1.0
90.0,46.0,solid,Steel C45,0.0,1.4,dry,0.24,191.0,,369575.0,1.0,0.2,0.4,0.9,0.6,0.2,0.4,0.0,key,key,1.0
70.0,52.0,solid,Steel 42CrMo4,0.0,1.2,dry,0.22,143.0,,545121.0,0.2,0.1,0.6,0.5,0.8,0.1,0.6,0.1,key,key,1.0
50.0,31.0,solid,Steel S235,0.0,1.4,oiled,,102.0,,140292.0,0.4,0.1,1.0,0.2,0.3,0.7,0.5,0.5,press,press,1.0
120.0,143.0,solid,Steel 16MnCr5,1.0,1.9,dry,,335.0,,1835925.0,0.5,0.0,0.7,0.8,1.0,1.0,0.1,0.4,spline,spline,1.0
14.0,15.0,solid,Steel C45,1.0,1.6,dry,,34.0,,3517.0,0.5,0.9,0.8,0.3,0.2,0.2,0.8,0.3,key,key,1.0
120.0,142.0,solid,Steel S235,1.0,1.3,oiled,0.12,315.0,,1068844.0,0.5,0.9,0.4,0.4,1.0,0.0,0.9,0.3,spline,spline,1.0
110.0,54.0,solid,Cast Iron GG25,0.0,1.5,oiled,,218.0,,1578326.0,0.4,0.0,0.3,1.0,0.4,0.1,0.7,0.6,spline,spline,1.0
20.0,20.0,solid,Cast Iron GGG40,1.0,1.5,oiled,,48.0,,5154.0,0.8,0.2,1.0,0.1,0.9,1.0,0.7,0.9,spline,spline,1.0
30.0,28.0,solid,Steel C45,1.0,1.6,dry,0.22,77.0,,38792.0,0.0,0.6,0.4,0.9,0.3,0.4,0.7,0.5,spline,spline,1.0
25.0,30.0,solid,Cast Iron GGG40,1.0,1.8,dry,,67.0,,13221.0,0.1,1.0,0.7,0.7,0.9,0.0,0.9,0.9,spline,spline,1.0
50.0,26.0,solid,Steel 42CrMo4,0.0,1.6,dry,,115.0,,155399.0,0.4,0.6,0.1,0.6,1.0,0.3,0.1,0.7,spline,spline,1.0
50.0,47.0,solid,Cast Iron GGG40,1.0,1.7,dry,,113.0,,146373.0,0.4,0.5,0.6,0.0,0.8,0.5,1.0,0.5,press,press,1.0
35.0,40.0,solid,Steel C45,1.0,1.7,dry,,87.0,,28354.0,0.3,0.5,0.6,0.5,1.0,0.5,1.0,0.4,key,key,1.0
40.0,48.0,solid,Steel S235,1.0,1.6,oiled,,88.0,,63913.0,0.0,1.0,0.1,0.4,0.6,0.3,0.2,0.4,spline,spline,1.0
45.0,27.0,solid,Cast Iron GGG40,0.0,1.7,oiled,,89.0,,151400.0,0.7,0.3,0.3,0.2,0.7,0.7,0.2,0.6,spline,spline,1.0
30.0,23.0,solid,Aluminum 6061,0.0,1.8,dry,,61.0,,42165.0,0.5,1.0,0.4,0.2,1.0,1.0,0.4,1.0,spline,spline,1.0
60.0,67.0,solid,Bronze CuSn8,1.0,1.4,oiled,,156.0,,203778.0,0.4,0.3,0.5,0.1,0.4,0.5,0.2,0.9,spline,spline,1.0
120.0,123.0,hollow,Bronze CuSn8,1.0,1.6,dry,,245.0,38.0,1445875.0,0.7,0.8,0.0,0.0,0.9,0.1,0.1,0.5,spline,spline,1.0
40.0,30.0,hollow,Bronze CuSn8,0.0,1.3,dry,,77.0,19.0,114381.0,0.9,0.2,0.8,0.7,0.1,0.2,0.7,0.6,press,press,1.0
60.0,59.0,hollow,Cast Iron GGG40,1.0,1.5,dry,,144.0,18.0,106429.0,0.3,0.2,0.6,0.6,0.8,0.8,0.5,0.2,key,key,1.0
45.0,41.0,solid,Bronze CuSn8,1.0,1.5,dry,,99.0,,143203.0,0.6,1.0,0.4,0.2,0.6,0.5,1.0,0.0,spline,spline,1.0
50.0,38.0,solid,Steel E360,0.0,1.4,dry,0.22,115.0,,166063.0,0.6,1.0,0.6,0.5,0.4,0.6,0.7,0.5,spline,spline,1.0
70.0,41.0,solid,Bronze CuSn8,0.0,1.7,dry,,167.0,,546947.0,0.0,0.4,1.0,0.1,0.4,0.8,0.2,0.5,press,press,1.0
60.0,74.0,solid,Steel 16MnCr5,1.0,1.4,oiled,,135.0,,173581.0,0.6,0.7,1.0,0.5,0.1,0.0,0.4,0.7,key,key,1.0
45.0,23.0,solid,Steel S235,0.0,1.3,oiled,,111.0,,138436.0,0.0,0.4,0.8,1.0,0.2,0.2,0.7,0.1,press,press,1.0
30.0,28.0,solid,Steel C45,1.0,1.4,dry,,70.0,,36374.0,0.1,0.2,0.3,0.4,0.0,0.6,0.7,0.3,key,key,1.0
30.0,32.0,solid,Steel E360,1.0,1.6,oiled,,74.0,,14683.0,0.1,0.0,0.6,0.5,0.8,0.9,0.3,0.4,key,key,1.0
80.0,96.0,solid,Steel S235,1.0,1.8,oiled,,234.0,,363675.0,0.8,0.8,0.0,0.4,0.4,0.6,1.0,0.5,spline,spline,1.0
25.0,31.0,solid,Steel S235,1.0,1.7,dry,,58.0,,8279.0,0.2,0.0,0.7,1.0,1.0,0.8,0.2,0.5,spline,spline,1.0
110.0,55.0,solid,Bronze CuSn8,0.0,1.6,oiled,,223.0,,712863.0,0.9,0.4,0.9,0.9,0.4,0.5,0.3,1.0,press,press,1.0
60.0,59.0,solid,Cast Iron GGG40,1.0,1.8,dry,,131.0,,318941.0,0.4,0.3,0.3,0.7,0.5,0.7,0.5,0.3,press,press,1.0
20.0,18.0,solid,Steel 16MnCr5,1.0,1.3,oiled,,51.0,,11504.0,0.1,0.3,0.8,0.9,1.0,0.6,0.2,0.1,key,key,1.0
45.0,50.0,solid,Steel E360,1.0,1.7,dry,,93.0,,65359.0,0.6,0.2,0.2,0.0,1.0,0.8,0.1,0.2,spline,spline,1.0
60.0,62.0,solid,Cast Iron GG25,1.0,1.7,dry,0.09,166.0,,296641.0,0.0,0.3,1.0,0.0,0.5,0.5,0.8,1.0,press,press,1.0
80.0,46.0,solid,Aluminum 7075,0.0,1.4,oiled,,203.0,,554730.0,0.5,0.1,1.0,1.0,0.4,0.0,0.8,0.1,key,key,1.0
110.0,137.0,hollow,Steel E360,1.0,1.7,oiled,,255.0,34.0,1810790.0,0.3,1.0,0.4,0.9,0.4,0.9,0.0,0.2,spline,spline,1.0
30.0,32.0,solid,Cast Iron GG25,1.0,1.8,oiled,,69.0,,41625.0,0.6,0.4,0.5,0.9,1.0,0.7,0.2,1.0,spline,spline,1.0
70.0,68.0,solid,Steel C45,1.0,1.5,dry,,189.0,,489940.0,0.6,0.3,0.6,0.4,0.7,0.0,0.2,0.3,key,key,1.0
40.0,47.0,hollow,Cast Iron GG25,1.0,1.7,oiled,,91.0,14.0,118730.0,0.3,0.7,0.5,0.4,0.5,0.7,0.1,0.1,press,press,1.0
80.0,35.0,hollow,Cast Iron GGG40,0.0,1.5,oiled,,167.0,32.0,314124.0,1.0,0.7,0.4,0.8,0.4,0.2,0.3,0.6,spline,spline,1.0
60.0,70.0,solid,Aluminum 6061,1.0,1.4,oiled,0.24,164.0,,161432.0,0.5,0.1,0.9,0.3,1.0,0.9,0.4,0.5,key,key,1.0
40.0,39.0,solid,Stainless 304,1.0,1.5,dry,,92.0,,74150.0,0.6,1.0,0.8,0.0,0.4,0.6,0.3,0.2,spline,spline,1.0
120.0,129.0,solid,Bronze CuSn8,1.0,1.6,oiled,,249.0,,2301760.0,0.0,0.1,0.7,0.8,0.0,0.0,0.5,0.7,press,press,1.0
35.0,26.0,hollow,Steel E360,0.0,1.5,dry,,81.0,20.0,29821.0,0.6,0.5,0.4,0.0,0.2,0.3,0.9,0.7,key,key,1.0
110.0,53.0,solid,Steel 42CrMo4,0.0,1.5,oiled,,252.0,,490397.0,0.2,0.3,0.6,0.3,0.7,0.0,0.0,0.8,spline,spline,1.0
120.0,71.0,solid,SteelC45E,0.0,1.6,oiled,,266.0,,708352.0,0.4,0.6,0.4,0.3,0.6,0.9,0.6,0.6,spline,spline,1.0
60.0,61.0,hollow,Steel C45,1.0,1.8,oiled,,116.0,35.0,136517.0,0.0,0.4,0.8,0.0,0.3,0.4,0.2,1.0,spline,spline,1.0
35.0,37.0,solid,Cast Iron GGG40,1.0,1.7,dry,,94.0,,21369.0,0.1,0.9,0.4,0.6,0.6,0.0,0.7,0.3,spline,spline,1.0
25.0,11.0,solid,Aluminum 7075,0.0,1.7,oiled,0.05,46.0,,24334.0,0.5,0.9,0.8,0.2,0.5,0.8,0.6,0.4,key,key,1.0
