d_mm,L_mm,L_rule,bending,shaft_mat,hub_mat,shaft_type,DiI_mm,DaA_mm,mu,S_R,RzI_um,RzA_um,M_req_Nmm,p_erf,p_zul,Z_erf,Z_zul,G,U_erf,U_zul,U_nom,tol_shaft_mm,tol_hub_mm,QI,QA,Mt_from_pzul,assembly_method,tA,tI,Mt_press,key_b_mm,key_h_mm,key_l_mm,Mt_key,spline_z,spline_b_mm,spline_hproj_mm,spline_D_mm,Mt_spline,label,label_score,Mt_label,pref_ease,pref_movement,pref_cost,pref_vibration,pref_speed,pref_bidirectional,score_press,score_key,score_spline
70.0,70.0,D,True,Steel C45,Steel C45,solid,,172.2525389525836,0.18,1.3,6.962014929706061,12.019956066616283,575699.4509958269,213.09474588354254,181.33333333333334,0.2029483245825102,0.1726992190181637,0.015185576797057877,0.21813390137956806,0.18788479581522158,0.18788479581522158,0.11273087748913294,0.07515391832608864,0.0,0.4063800767503873,376840.32198340294,heat_hub,327.00570930383526,,376840.32198340294,20.0,12.0,70.0,1323000.0,10,12,4.0,78,1176000.0,spline,0.6981234293912146,1176000.0,0.25099924666475815,0.8060391472621088,0.6764711999985934,0.717085904281123,0.6296221828402035,1.0,,0.6388830816678852,0.6981234293912146
18.0,18.0,D,True,Steel C45,Steel C45,solid,,32.218642677493136,0.18,1.7,8.98071472965475,18.816501559734718,4385.28818469638,18.772433133675285,181.33333333333334,0.005132729939944389,0.0495798825054968,0.022237773031511577,0.027370502971455966,0.07181765553700838,0.054038794510787413,0.032423276706472444,0.021615517804314966,0.0,0.558682753341878,24917.604963800517,heat_hub,435.82247933800176,,24917.604963800517,6.0,6.0,18.0,43740.0,6,4,2.0,22,30240.0,key,3.9932852534092,43740.0,0.6037790253168653,0.4791964948896248,0.5946848704882786,0.6592750066090632,0.3066594908888719,1.0,2.6305059205334835,3.9932852534092,2.856976268426541
60.0,60.0,D,True,Steel C45,Steel C45,solid,,141.13064583800502,0.18,1.3,6.866115854189238,11.76123552897165,179220.52554916186,90.29386687140371,181.33333333333334,0.07447444144594549,0.14956385393002167,0.014901881106528712,0.0893763225524742,0.16446573503655038,0.1344299700429199,0.08065798202575193,0.05377198801716796,0.0,0.4251379963843588,276862.2773755613,heat_hub,331.7579653285422,,276862.2773755613,18.0,11.0,60.0,891000.0,8,12,4.0,68,806400.0,key,1.887964254844166,891000.0,0.729989249002065,0.113204952525223,0.9133548615310455,0.8020365779972838,0.8776913666495335,1.0,0.9775526958718882,1.887964254844166,1.790435121197668
70.0,70.0,D,True,Aluminum 6061,Aluminum 6061,hollow,41.42347682174442,121.18320709785054,0.22,1.7,9.53876149133439,9.47997682492576,220110.4975401448,50.975551980691215,30.866232546923293,0.2090670297023222,0.12659228406454018,0.01521499065300812,0.22428202035533032,0.1418072747175483,0.1418072747175483,0.08508436483052899,0.05672290988701933,0.5917639545963489,0.5776377905519354,78399.54113074068,heat_hub,272.1515175208908,,78399.54113074068,20.0,12.0,70.0,588000.0,10,12,4.0,78,504000.0,key,0.4376422563301898,588000.0,0.5903878678348518,0.16601115304721703,0.6778737085673094,0.02107535444389108,0.3105701970531949,0.0,,0.4376422563301898,0.1936563840116402
80.0,80.0,D,True,Aluminum 6061,Aluminum 6061,solid,,187.3065219258799,0.22,1.5,8.677537521188563,14.041526475609285,600763.4039229181,120.72533505435021,47.5,0.4138609443555442,0.16283570344234866,0.01817525119743828,0.4320361955529825,0.18101095463978695,0.18101095463978695,0.10860657278387216,0.07240438185591479,0.0,0.42710739154965055,157582.28750406404,heat_hub,291.8864110831114,,157582.28750406404,22.0,14.0,80.0,896000.0,10,12,4.0,88,576000.0,key,-0.059585112761912085,896000.0,0.9600709170261761,0.8540090713418452,0.0507096459660612,0.33866008338021847,0.31800319786228226,0.0,,-0.059585112761912085,
18.0,9.0,0.5D,False,Aluminum 6061,Aluminum 6061,solid,,33.44086900557715,0.22,1.7,7.807931180640547,16.736028194334175,9941.076528278532,34.81814812901007,47.5,0.02908848346324254,0.039683413356289395,0.01963516749997978,0.048723650963222315,0.059318580856269176,0.055080608899050434,0.03304836533943026,0.022032243559620177,0.0,0.5382635241027386,7977.60330489324,heat_hub,377.95639285309807,,7977.60330489324,6.0,6.0,9.0,9720.0,6,4,2.0,22,12960.0,spline,0.6284232873799912,12960.0,0.5736411794985231,0.6387499660221029,0.6093342574925998,0.09624567762804348,0.6611914610149492,1.0,,,0.6284232873799912
90.0,90.0,D,True,Aluminum 6061,Aluminum 6061,solid,,154.92256920621247,0.22,1.3,18.141827426012984,18.501268614671055,938224.2817968492,171.88757337110354,47.5,0.7482724459587757,0.2067801673266106,0.029314476832547235,0.777586922791323,0.23609464415915782,0.23609464415915782,0.14165678649549468,0.09443785766366314,0.0,0.5809353695923019,199440.082622331,heat_hub,321.9394853325535,,199440.082622331,25.0,14.0,90.0,1134000.0,10,14,4.0,98,756000.0,key,-0.27977045676528284,1134000.0,0.6508074434222286,0.21467627274376333,0.5637097242670692,0.9448045298068409,0.3793196242525677,0.0,,-0.27977045676528284,
80.0,80.0,D,True,Steel C45,Steel C45,hollow,43.43447905548836,170.5293861726358,0.18,1.5,15.274247102599553,17.627735451684575,351390.926507849,86.3049427644523,127.88097082671972,0.11540925436841622,0.17100581980919605,0.026321586043427304,0.14173084041184353,0.19732740585262334,0.17508877967631142,0.10505326780578685,0.07003551187052458,0.5429309881936045,0.4691273556747095,347111.92956944444,heat_hub,308.88271442981596,,347111.92956944444,22.0,14.0,80.0,2016000.0,10,12,4.0,88,1344000.0,key,1.4480640474676663,2016000.0,0.21505777963809358,0.2474095916167709,0.3298522832824141,0.45742569813821743,0.08153146030257341,0.0,,1.4480640474676663,0.6718612639557238
60.0,60.0,D,True,Aluminum 6061,Aluminum 6061,solid,,105.90059093356754,0.22,1.7,7.8351058360784895,7.864892992895496,322946.97745447134,101.79957975532976,47.5,0.29112594087241167,0.13584026795273246,0.01255999906317919,0.30368593993559084,0.14840026701591166,0.14840026701591166,0.089040160209547,0.059360106806364665,0.0,0.5665690764430066,88640.03672103601,heat_hub,309.4448152998773,,88640.03672103601,18.0,11.0,60.0,396000.0,8,12,4.0,68,345600.0,key,0.14184282858947472,396000.0,0.906392365400257,0.2692442996733905,0.3064105792068602,0.8327943100020676,0.6199234597118014,0.0,,0.14184282858947472,0.19640664444450562
8.0,4.0,0.5D,False,Steel C45,Steel C45,solid,,17.91488633878535,0.18,1.5,16.182546874339614,16.870629336913453,415.1174976754904,10.195679277622325,181.33333333333334,0.0011356266203141475,0.020197473348892464,0.026442540969002455,0.027578167589316603,0.04664001431789492,0.03901527562646359,0.023409165375878154,0.015606110250585437,0.0,0.4465560008985471,4921.996042232201,heat_hub,589.1668158114054,,4921.996042232201,2.0,2.0,4.0,1440.0,6,3,3.0,14,15120.0,spline,14.543648097878537,15120.0,0.37073279482625254,0.06421200016610362,0.5187762340602949,0.7574599063822021,0.19083820348967717,1.0,5.064583006553471,1.3114800861962512,14.543648097878537
60.0,60.0,D,True,Aluminum 6061,Aluminum 6061,solid,,149.84501592150306,0.22,1.3,17.193517599434,15.023302722328646,179315.00885955876,73.91574729491268,47.5,0.18729336143174527,0.12035912499825606,0.025773456257410118,0.2130668176891554,0.14613258125566617,0.14613258125566617,0.0876795487533997,0.058453032502266467,0.0,0.4004137183410308,88640.03672103601,heat_hub,306.29525174398077,,88640.03672103601,18.0,11.0,60.0,396000.0,8,12,4.0,68,345600.0,spline,0.8126154293593989,345600.0,0.9391799586908811,0.8430250668415862,0.777115809053182,0.3950192152064369,0.6412291106098151,1.0,,0.7991925992179939,0.8126154293593989
80.0,80.0,D,True,Aluminum 6061,Aluminum 6061,solid,,170.7116721635054,0.22,1.5,11.876793053179178,6.466749291557452,479184.63526050514,96.29369110529838,47.5,0.3387615006616951,0.16710514569261467,0.014674833875789304,0.3534363345374844,0.18177997956840397,0.18177997956840397,0.10906798774104239,0.07271199182736159,0.0,0.4686264212992832,157582.28750406404,heat_hub,292.68747871708746,,157582.28750406404,22.0,14.0,80.0,896000.0,10,12,4.0,88,576000.0,key,0.31915430754083784,896000.0,0.38751863900173134,0.5480287682660389,0.7216402185196622,0.38146086939839574,0.8306406734119919,1.0,,0.31915430754083784,0.16197882974009636
20.0,10.0,0.5D,False,Steel C45,Steel C45,hollow,13.602859724981805,35.97410262844119,0.18,1.7,8.071834082668905,15.977459464860509,15635.969873895856,54.216599029770926,97.44953397711882,0.022206069944575507,0.03991344360006661,0.019239434838023536,0.04144550478259904,0.05915287843809014,0.0520699289758937,0.03124195738553622,0.020827971590357482,0.6801429862490902,0.5559554940555478,16531.923962066332,heat_hub,349.8036601587089,,16531.923962066332,6.0,6.0,10.0,27000.0,6,6,2.5,25,63000.0,spline,1.6989570794052962,63000.0,0.09180991315160947,0.9878715818465336,0.11675648510158831,0.17680755913689605,0.574952933829019,1.0,0.552722530385154,0.5851087003038444,1.6989570794052962
90.0,45.0,0.5D,False,Aluminum 6061,Aluminum 6061,hollow,41.23256234951684,175.5943708605914,0.22,1.3,16.767553862612957,6.946449353836849,562451.5503049246,103.0440524685356,35.02164175343328,0.46869791245242903,0.1592966307832582,0.018971202573159842,0.48766911502558885,0.17826783335641805,0.17826783335641805,0.10696070001385083,0.07130713334256722,0.4581395816612982,0.5125449042523873,147046.71841840865,heat_hub,268.39614199668335,,147046.71841840865,25.0,14.0,45.0,567000.0,10,14,4.0,98,756000.0,spline,0.11752139311062415,756000.0,0.31223067417502903,0.7197484391385756,0.45501748315239987,0.05677436239291678,0.9953616594289969,0.0,,-0.10688384911124871,0.11752139311062415
16.0,16.0,D,True,Aluminum 6061,Aluminum 6061,solid,,28.77611079764979,0.22,1.7,7.74868935048732,6.4623349453203,4002.4728882727914,17.742127472145448,47.5,0.013392179870503392,0.03585412994284997,0.011368819436646095,0.024760999307149485,0.04722294937949607,0.03823816935055743,0.022942901610334458,0.015295267740222974,0.0,0.5560167637840329,6303.291500162561,heat_hub,349.2861946848754,,6303.291500162561,5.0,5.0,16.0,12800.0,6,4,2.0,20,11520.0,spline,1.2580021366758154,11520.0,0.17630437136812716,0.8604756804576209,0.48424276863393134,0.18370352102024934,0.6698645598173122,1.0,0.8925966803024901,1.2497007383973133,1.2580021366758154
16.0,16.0,D,True,Aluminum 6061,Aluminum 6061,solid,,29.49595217520904,0.22,1.3,11.538457502128608,17.07139318278741,5617.953830451066,32.56574600008504,47.5,0.024274356621017058,0.035406280559189374,0.022887880547932817,0.04716223716894988,0.05829416110712219,0.053841391531853265,0.03230483491911196,0.021536556612741307,0.0,0.5424473129383424,6303.291500162561,heat_hub,406.94875576626146,,6303.291500162561,5.0,5.0,16.0,12800.0,6,4,2.0,20,11520.0,key,0.8868348959064953,12800.0,0.13630872481803047,0.11319164078204269,0.9795967304483173,0.9415913028559177,0.2306671823011024,1.0,0.9047448768948438,0.8868348959064953,0.8054665740690121
70.0,70.0,D,True,Steel C45,Steel C45,solid,,122.71830023618362,0.18,1.5,6.567404038526871,10.41491140208134,572624.919383734,183.69581548504777,181.33333333333334,0.19759436368361769,0.19505313455300685,0.013585852352486568,0.21118021603610426,0.20863898690549343,0.20863898690549343,0.12518339214329605,0.08345559476219738,0.0,0.5704120727330644,376840.32198340294,heat_hub,351.71307964939695,,376840.32198340294,20.0,12.0,70.0,1323000.0,10,12,4.0,78,1176000.0,spline,0.6855446041862254,1176000.0,0.23655057640602173,0.46506345409754046,0.8808570268692277,0.7609595216577878,0.8289804695617414,1.0,,0.6694998521340239,0.6855446041862254
80.0,80.0,D,True,Aluminum 6061,Aluminum 6061,solid,,146.61358692919433,0.22,1.3,10.223023038531,8.346970120582384,666073.1264481216,154.44176942728961,47.5,0.5772764770420327,0.17754673985657773,0.014855994527290708,0.5921324715693234,0.19240273438386846,0.19240273438386846,0.11544164063032107,0.07696109375354739,0.0,0.5456520209046878,157582.28750406404,heat_hub,303.75284831652965,,157582.28750406404,22.0,14.0,80.0,896000.0,10,12,4.0,88,576000.0,key,0.09704212876429996,896000.0,0.9194558515199691,0.5966428373561213,0.3294341128718252,0.9366431566523509,0.1551302719378448,1.0,,0.09704212876429996,
18.0,18.0,D,True,Steel C45,Steel C45,solid,,39.86901316501467,0.18,1.5,9.94691386106784,17.22515277335954,9989.752831621932,48.465738253890834,181.33333333333334,0.01218355056752041,0.045584446164220756,0.021737653307541904,0.03392120387506231,0.06732209947176265,0.05396174123308252,0.03237704473984951,0.02158469649323301,0.0,0.4514784433088282,24917.604963800517,heat_hub,415.009719776679,,24917.604963800517,6.0,6.0,18.0,43740.0,6,4,2.0,22,30240.0,key,1.874091059710703,43740.0,0.950562814907032,0.433491338095243,0.4150884335921271,0.6921211287850167,0.8350553061430395,1.0,1.4686942341032818,1.874091059710703,1.523664143404873
30.0,15.0,0.5D,False,Aluminum 6061,Aluminum 6061,solid,,62.24807521196229,0.22,1.5,16.189788916219804,6.216054677307047,20805.742007662695,29.73141804906139,47.5,0.039586438175040095,0.0632447403017081,0.01792467487482148,0.057511113049861576,0.08116941517652958,0.07170609432586238,0.04302365659551743,0.028682437730344953,0.0,0.48194261264860544,22160.009180259003,heat_hub,328.8039310459155,,22160.009180259003,8.0,7.0,15.0,31500.0,8,6,3.0,36,64800.0,spline,1.3053126907394816,64800.0,0.40907085628137885,0.7204446508677188,0.5232988699660917,0.7308488553232634,0.08475789473371065,1.0,0.7024454516986431,0.5519101968717853,1.3053126907394816
25.0,25.0,D,True,Aluminum 6061,Aluminum 6061,solid,,54.36456786371291,0.22,1.7,14.835020770240458,13.710457317755523,19767.88174193441,35.891976826351666,47.5,0.03922995876491159,0.05191753717965144,0.022836382470396786,0.062066341235308374,0.07475391965004823,0.06967888828415228,0.041807332970491363,0.027871555313660912,0.0,0.45985834123932995,15388.895264068751,heat_hub,352.51306550016074,,15388.895264068751,8.0,7.0,25.0,43750.0,6,6,2.5,30,33750.0,key,0.6127988821837563,43750.0,0.22219688522726433,0.195549179336848,0.8786908847476536,0.19784210773968647,0.45429075200647173,0.0,,0.6127988821837563,0.3243681997440362
90.0,45.0,0.5D,False,Aluminum 6061,Aluminum 6061,solid,,199.21164240293123,0.22,1.5,14.685396072352038,17.464832970065103,747505.8344116181,118.68736604229038,47.5,0.4645954946563349,0.18593626880482453,0.02572018323393371,0.4903156778902686,0.21165645203875824,0.21165645203875824,0.12699387122325495,0.0846625808155033,0.0,0.4517808242249386,199440.082622331,heat_hub,299.3115296655169,,199440.082622331,25.0,14.0,45.0,567000.0,10,14,4.0,98,756000.0,spline,0.16768304939679346,756000.0,0.40612872373711606,0.5583234580933621,0.3960826639763372,0.7442922552971489,0.38043015611425024,1.0,,,0.16768304939679346
10.0,10.0,D,True,Aluminum 6061,Aluminum 6061,solid,,20.578310590167316,0.22,1.3,11.33347631786064,17.826207409442837,1742.4692665544594,25.85758479793488,47.5,0.011509137531601724,0.02114211505147004,0.023327746981842784,0.03483688451344451,0.044469862033312824,0.040616671025365494,0.024370002615219297,0.016246668410146197,0.0,0.4859485406337573,2462.2232422510006,heat_hub,473.9155169442735,,2462.2232422510006,3.0,3.0,10.0,3000.0,6,3,2.0,14,5400.0,spline,1.3967889307107744,5400.0,0.7128909397298278,0.03438970025083832,0.3897984038818372,0.8603336861960739,0.5795393575183594,1.0,0.9891361426524455,0.714572839676126,1.3967889307107744
70.0,70.0,D,True,Aluminum 6061,Aluminum 6061,solid,,143.12171577985296,0.22,1.5,8.568771634615151,10.096988491902128,377867.572320021,99.17871279136772,47.5,0.3097154280585621,0.14833306884844097,0.014932608101213824,0.32464803615977594,0.1632656769496548,0.1632656769496548,0.09795940616979287,0.06530627077986192,0.0,0.48909419244017893,120648.93887029901,heat_hub,297.69723446387474,,120648.93887029901,20.0,12.0,70.0,588000.0,10,12,4.0,78,504000.0,key,0.14801434718730644,588000.0,0.9990587554798158,0.35255194187867134,0.44737928181926856,0.3716275638264528,0.5814277395248711,0.0,,0.14801434718730644,0.10664334100222594
18.0,18.0,D,True,Aluminum 6061,Aluminum 6061,solid,,43.07843083516197,0.22,1.3,12.913666744798224,15.597576059654193,10590.658787811222,48.50659577771379,47.5,0.03721921715560926,0.0364468540112168,0.022808994243561934,0.060028211399171194,0.05925584825477873,0.05925584825477873,0.03555350895286724,0.023702339301911495,0.0,0.41784251772949527,7977.60330489324,heat_hub,377.6659641424942,,7977.60330489324,6.0,6.0,18.0,19440.0,6,4,2.0,22,12960.0,key,0.5278522090946016,19440.0,0.31296516261692564,0.4945269572874691,0.19802108175945698,0.4202426227262105,0.8280489172967885,0.0,,0.5278522090946016,0.40817665778745
12.0,12.0,D,True,Steel C45,Steel C45,solid,,27.182676204704432,0.18,1.5,13.642445672126351,8.818770740232889,2010.9213649626192,21.951171152462422,181.33333333333334,0.0036560313438495896,0.030201593607319815,0.017968973129887395,0.021625004473736983,0.04817056673720721,0.03755234183181912,0.02253140509909147,0.015020936732727648,0.0,0.4414576368283853,11074.491095022453,heat_hub,437.85115789727223,,11074.491095022453,4.0,4.0,12.0,12960.0,6,3,2.0,16,15120.0,spline,2.9230846351721738,15120.0,0.7705139815346804,0.056708135295254536,0.7328261400527485,0.8174299356982124,0.44519357324826647,0.0,2.390138108017626,2.4911657101659648,2.9230846351721738
12.0,12.0,D,True,Aluminum 6061,Aluminum 6061,solid,,26.457726551335625,0.22,1.3,9.613888321087048,12.671518316044796,2592.7212038767284,26.718751337487124,47.5,0.013960912039096798,0.024819397938207165,0.017828325309705472,0.03178923734880227,0.04264772324791263,0.038304328888268485,0.02298259733296109,0.015321731555307395,0.0,0.45355370865733824,3545.6014688414402,heat_hub,399.49807811050437,,3545.6014688414402,4.0,4.0,12.0,5760.0,6,3,2.0,16,6480.0,spline,1.0560904567960396,6480.0,0.20316784157520518,0.9620510752024908,0.2891380757433565,0.3060201317674801,0.25631238316014593,1.0,0.7128003911870426,0.8017979122868182,1.0560904567960396
45.0,45.0,D,True,Steel C45,Steel C45,solid,,109.73463056786471,0.18,1.5,10.499991165621985,16.755572147461017,70693.6061749159,54.87571708083329,181.33333333333334,0.03366403455138213,0.11124067116350711,0.021804450650466402,0.055468485201848536,0.13304512181397352,0.10201446716912352,0.06120868030147411,0.04080578686764941,0.0,0.4100802068328833,155735.03102375325,heat_hub,349.7131885443954,,155735.03102375325,14.0,9.0,45.0,410062.5,8,9,2.5,50,283500.0,key,2.1212164681558625,410062.5,0.6563837659269367,0.620906780612134,0.7676911260473221,0.7502582476929627,0.3438381250143936,0.0,0.9031294985308391,2.1212164681558625,1.447559574309324
90.0,90.0,D,True,Steel C45,Steel C45,hollow,46.874956620560674,222.24306779131985,0.18,1.5,7.900003069768716,7.93253043282537,877023.1055235723,170.19669251624018,132.14360956174414,0.24354643141642857,0.18909359557723324,0.01266602680207527,0.25621245821850386,0.2017596223793085,0.2017596223793085,0.1210557734275851,0.0807038489517234,0.520832851339563,0.40496201251373803,453957.1132651976,heat_hub,290.14779849935974,,453957.1132651976,25.0,14.0,90.0,2551500.0,10,14,4.0,98,1764000.0,key,0.08293708350450835,2551500.0,0.025791292595461535,0.18373911828116274,0.16504783937720058,0.4743480251536123,0.015072778530416664,0.0,,0.08293708350450835,-0.2797462151692476
12.0,6.0,0.5D,False,Steel C45,Steel C45,solid,,28.241716008940173,0.18,1.7,14.639803662965495,11.688371778479782,1593.4635130494423,15.347833135947447,181.33333333333334,0.0025314418741514953,0.029908768821855853,0.021062540353156224,0.02359398222730772,0.05097130917501208,0.04002037839593034,0.024012227037558204,0.016008151358372136,0.0,0.42490335913728794,11074.491095022453,heat_hub,457.3007581598061,,11074.491095022453,4.0,4.0,6.0,6480.0,6,3,2.0,16,15120.0,spline,3.687666750477024,15120.0,0.16091495418718715,0.9238102251220786,0.8934908572612101,0.6683219628377037,0.04944732071160585,0.0,2.8755121551965406,1.5129439138115564,3.687666750477024
100.0,100.0,D,True,Aluminum 6061,Aluminum 6061,solid,,172.5955351131168,0.22,1.3,18.406760096697155,7.600999965801871,1523171.9918977264,226.03296194839305,47.5,1.0915371282801085,0.22938253406219083,0.020806208049999223,1.1123433363301078,0.25018874211219005,0.25018874211219005,0.15011324526731404,0.10007549684487603,0.0,0.5793892636588852,246222.32422510002,heat_hub,311.82395176015837,,246222.32422510002,28.0,16.0,100.0,1600000.0,10,16,4.0,108,960000.0,key,-0.3131290409133096,1600000.0,0.8309472126080714,0.9150947466679444,0.9898092513759018,0.6119250176417482,0.6659855788487787,0.0,,-0.3131290409133096,
